run,dataset,method,seed,abc_status,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,time_to_target,unused_gate_ratio,pre_gate_count,pre_depth,pre_fanout_max,abc_pre_nd,abc_pre_edge,abc_pre_cube,abc_pre_lev,abc_post_and,abc_post_lev,abc_and_reduction_vs_pre_nd,abc_level_delta_vs_pre_lev,abc_level_ratio_vs_pre_lev,accuracy_recomputed_after_abc,blif_path,abc_log_path
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,block_hard_refit,0,ok,0.59375,0.484375,0.109375,3.2422897815704346,98.5457992553711,95.30350947380066,0.7564495271071792,-1.0,0.982421875,512,4,32,512,792,677,4,128,5,0.75,1.0,1.25,no,synthesis/parity8__block_hard_refit__seed0.blif,synthesis/parity8__block_hard_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,block_hard_task_refit,0,ok,0.40625,0.34375,0.0625,27.87148666381836,42.54490280151367,14.673416137695312,2.8712520031258464,-1.0,0.986328125,512,4,32,512,766,655,4,56,4,0.890625,0.0,1.0,no,synthesis/parity8__block_hard_task_refit__seed0.blif,synthesis/parity8__block_hard_task_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,hard_st_cage,0,ok,0.40625,0.328125,0.078125,4.209776401519775,103.3199462890625,99.11016988754272,2.8258301101159304,-1.0,0.9921875,512,4,32,512,880,881,4,116,6,0.7734375,2.0,1.5,no,synthesis/parity8__hard_st_cage__seed0.blif,synthesis/parity8__hard_st_cage__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,dlgn,0,ok,1.0,0.5859375,0.4140625,0.0014111679047346115,132.47061157226562,132.4692004043609,10.188174013979733,-1.0,0.890625,512,4,26,512,920,894,4,238,7,0.53515625,3.0,1.75,no,synthesis/random_sparse10__dlgn__seed0.blif,synthesis/random_sparse10__dlgn__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,dlgn_anneal,0,ok,1.0,0.80078125,0.19921875,9.831283023231663e-06,47.295413970947266,47.29540413966424,11.390331944916397,-1.0,0.873046875,512,4,26,512,926,902,4,236,7,0.5390625,3.0,1.75,no,synthesis/random_sparse10__dlgn_anneal__seed0.blif,synthesis/random_sparse10__dlgn_anneal__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,gumbel_st,0,ok,0.515625,0.61328125,0.09765625,39.64324188232422,112.93936920166016,73.29612731933594,10.22606831905432,-1.0,0.994140625,512,4,26,512,890,850,4,193,6,0.623046875,2.0,1.5,no,synthesis/random_sparse10__gumbel_st__seed0.blif,synthesis/random_sparse10__gumbel_st__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,block_relaxed,0,ok,0.52734375,0.4765625,0.05078125,0.7641204595565796,187.1878662109375,186.42374575138092,2.3757298830896616,-1.0,0.984375,512,4,26,512,894,857,4,194,6,0.62109375,2.0,1.5,no,synthesis/random_sparse10__block_relaxed__seed0.blif,synthesis/random_sparse10__block_relaxed__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,block_hard_refit,0,ok,0.484375,0.484375,0.0,26.706695556640625,220.71664428710938,194.00994873046875,2.4398697160650045,-1.0,0.9921875,512,4,26,512,784,661,4,128,7,0.75,3.0,1.75,no,synthesis/random_sparse10__block_hard_refit__seed0.blif,synthesis/random_sparse10__block_hard_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,block_hard_task_refit,0,ok,0.484375,0.421875,0.0625,49.054718017578125,47.4741096496582,1.5806083679199219,5.1417817960027605,-1.0,0.994140625,512,4,26,512,720,605,4,55,5,0.892578125,1.0,1.25,no,synthesis/random_sparse10__block_hard_task_refit__seed0.blif,synthesis/random_sparse10__block_hard_task_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,random_sparse10,hard_st_cage,0,ok,0.515625,0.91796875,0.40234375,30.462356567382812,9.426445007324219,21.035911560058594,10.276127520948648,-1.0,0.8828125,512,4,26,512,882,849,4,142,7,0.72265625,3.0,1.75,no,synthesis/random_sparse10__hard_st_cage__seed0.blif,synthesis/random_sparse10__hard_st_cage__seed0.abc.log
