family,run,model,seed,steps,trainable_shadow_parameters,method,final_validation_accuracy,best_validation_accuracy,control_run,delta_pp,forced_a_accuracy,hard_lut_flips,root_code_change,commit,protocol_sha256,result_sha256,evaluation_split,remote_result
scale,fdscale_d6e384_seed42,d6_e384_h6_k8,42,50000,14203392,"width doubled with heads fixed",0.6860,0.6916,fdscale_d6e192_control_seed42,-6.70,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,c5ac3b723126f00396c95909d96b9b20f7847e2991b02310ba9bb23fb89816ef,257242f86e2a755f3769afcc76e3ed343be57e06c30f90665b537b32af14fd90,cifar10_train_fixed_valid5000_seed20260711,/home/wangmeiqi/learnable_logic_full_discrete_scale_ablation_20260713/runs/fdscale_d6e384_seed42/result.json
scale,fdscale_d12e384_seed42,d12_e384_h6_k8,42,50000,28359168,"depth and width doubled with heads fixed",0.6692,0.6792,fdscale_d6e192_control_seed42,-8.38,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,5b0c628c41d403d05a7552f7cc5084049366e8ca954f7b5365c1e7175e914482,315f9c618e3d4376fd3887bc6f0a17168f43fe014fd09724d6cd076a750b6edc,cifar10_train_fixed_valid5000_seed20260711,/home/wangmeiqi/learnable_logic_full_discrete_scale_ablation_20260713/runs/fdscale_d12e384_seed42/result.json
scale_standalone,full_discrete_d12e384_seed42,d12_e384_h6_k8,42,50000,28359168,"earlier standalone d12 e384",0.6806,0.6806,,,,,,2984167c3b32aa0b3d85962c3cf1cbf9b5dc49bb,6737e45b0e9169884cd9759c6fbb278abff66d6cf20fd1d9021b0a11646390be,d8881fb1f54b1cbad9985f36134c5208f790fb9ad011d29408d26aa93fe31343,cifar10_train_fixed_valid5000_seed20260711,/home/wangmeiqi/learnable_logic_full_discrete_d12_20260713/runs/full_discrete_d12e384_seed42/result.json
logic_backend,fdlogic_wmag7_rms_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 RMS LUT block and final",0.7530,0.7534,,,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,f340a218c6317f6d45f473f500b0e6d431fc34dd45ad21b6170a54f68c681323,817f6f54f5d0bdf2e7c6bca8f1ecbb26000daf9bc6dcf4c24d3ca88c741dbc45,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_rms_seed42/result.json
logic_backend,fdlogic_wmag4_rms_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag4 RMS LUT block and final",0.7374,0.7422,fdlogic_wmag7_rms_seed42,-1.56,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,b4236d927b3050bad85a7e28fdc4cf6bd82b854d00edc2919b0bd6b3636cb244,8ca2c6bd75ea93662784ecdf23e9ef99820357aed32569810ee11a98ec16a7d0,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag4_rms_seed42/result.json
logic_backend,fdlogic_wmag7_shift_rms_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 Shift-RMS block and final",0.7180,0.7188,fdlogic_wmag7_rms_seed42,-3.50,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,ee45b552bca1c125745cab385e89103f4e1f27b0ef731bf475302caeac6e7b5f,7384c12bec44471a2acdc3e2d7f23a8adb80a7944de572cc863236b184f40cba,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_shift_rms_seed42/result.json
logic_backend,fdlogic_wmag7_shift_finalnone_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 Shift-RMS blocks final none",0.7460,0.7460,fdlogic_wmag7_rms_seed42,-0.70,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,1e54fa1fa2e286d33ba310d6bdb4dcbac206801f5c4a028757a8b69e031ccf3a,0c70bc6dc0f86f6833a77197a3ad17de0ef16d1ab5d88ca1600b43f4080d252e,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_shift_finalnone_seed42/result.json
logic_backend,fdlogic_wmag7_rms_finalnone_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 RMS LUT blocks final none",0.7474,0.7474,fdlogic_wmag7_rms_seed42,-0.56,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,d43151891af02dfbcf7405bf4495d85cce9e4746a370ee6e462763790b021e70,84373193d33156b1e4b8cb102e95f71f7de54045b9132b1020ef3979b5e2c7ab,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_rms_finalnone_seed42/result.json
logic_backend,fdlogic_wmag7_requant_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 requant-only norm",0.7010,0.7024,fdlogic_wmag7_rms_seed42,-5.20,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,10f2739239bbf270e048268d7b6b56d9b64f6a61e10adefbd2366a73417149a1,281f55a433c447242840e3b31b9259f8c5d0ca863b0a18904071bcc6bb24da87,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_requant_seed42/result.json
logic_backend,fdlogic_wmag7_none_seed42,d6_e192_h6_k8,42,50000,3562752,"Wmag7 no normalization",0.7064,0.7120,fdlogic_wmag7_rms_seed42,-4.66,,,,4523f31d85b9e996f166d3c9b2c4468731cbccaa,7081d838f59463a8d8052bcf9724b03d57cace978c76ce6d73ac1a380a7c0d28,1ca2bca7ed20fbd0936448f9eb6044570fd60ee685133584092ba84590b2c47f,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_backend_20260713/runs/fdlogic_wmag7_none_seed42/result.json
logic_tree,fdlt_l0_d6e192_seed42,d6_e192_h6_k8,42,50000,3562752,"logic-tree control local_layers 0",0.7530,0.7534,,,,,,376aba42a693ef62673ae35f3d5c474b12862b96,c0709185a530f88ea1287107ce86c17cead0c3097e1fb37f3d56d644d7c0a817,2b1065996ceb0db662bcd8b1c82f900a6185e0a70315e523e4273071b194d406,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_tree_20260714/runs/fdlt_l0_d6e192_seed42/result.json
logic_tree,fdlt_l1_d6e192_seed42,d6_e192_h6_k8,42,50000,3605760,"one fixed local logic-tree layer",0.7576,0.7576,fdlt_l0_d6e192_seed42,0.46,0.7576,0,0,376aba42a693ef62673ae35f3d5c474b12862b96,15ee005f8aecea5b91b589f5766cc535d9dc6422c1c761b9a82c082b407809b9,001473260507967f1be2598303ea8c04c78ace9f5ae0a02cc2d5986860e4f0f6,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_tree_20260714/runs/fdlt_l1_d6e192_seed42/result.json
logic_tree,fdlt_l3_d6e192_seed42,d6_e192_h6_k8,42,50000,3691776,"three fixed local logic-tree layers",0.5828,0.5842,fdlt_l0_d6e192_seed42,-17.02,0.5828,0,0,376aba42a693ef62673ae35f3d5c474b12862b96,80d5caade3b83d979e7690c501234748d433720fc3ffa6ef82b593ea4f9f2241,359b4bdc6e40fc82d5fe5d6d00db92133508e8afbb525d40ae45bfc975e59444,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_logic_tree_20260714/runs/fdlt_l3_d6e192_seed42/result.json
