dataset,method,comparison,n_rows,layer,prefix_depth,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
digits,block_hard_task_refit,path_soft_vs_discrete,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.0,0.699999988079071,0.0
digits,block_hard_task_refit,path_soft_vs_discrete,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856249988079071,0.0,0.856249988079071,0.0
digits,block_hard_task_refit,path_soft_vs_discrete,1,3,4,0.3963690996170044,0.0,0.7737029790878296,0.0,0.16518695652484894,0.0,0.056513890624046326,0.0,0.7250000238418579,0.0,0.9125000238418579,0.0
digits,block_relaxed,full_soft_vs_discrete,1,0,1,0.41806066036224365,0.0,0.6976301670074463,0.0,0.18218570947647095,0.0,0.17793749272823334,0.0,0.05937499925494194,0.0,0.3031249940395355,0.0
digits,block_relaxed,full_soft_vs_discrete,1,1,2,0.46866971254348755,0.0,0.6869020462036133,0.0,0.22352832555770874,0.0,0.3292847275733948,0.0,0.0,0.0,0.375,0.0
digits,block_relaxed,full_soft_vs_discrete,1,2,3,0.4726262390613556,0.0,0.6991714835166931,0.0,0.2272406667470932,0.0,0.32417359948158264,0.0,0.0,0.0,0.421875,0.0
digits,block_relaxed,full_soft_vs_discrete,1,3,4,0.46854498982429504,0.0,0.680027425289154,0.0,0.2237708419561386,0.0,0.30904167890548706,0.0,0.0,0.0,0.45625001192092896,0.0
digits,dlgn,full_soft_vs_discrete,1,0,1,0.2398107349872589,0.0,0.7101927995681763,0.0,0.08147281408309937,0.0,0.06267361342906952,0.0,0.05937499925494194,0.0,0.16875000298023224,0.0
digits,dlgn,full_soft_vs_discrete,1,1,2,0.37228265404701233,0.0,0.6931041479110718,0.0,0.15210992097854614,0.0,0.13433332741260529,0.0,0.0,0.0,0.15000000596046448,0.0
digits,dlgn,full_soft_vs_discrete,1,2,3,0.4477892518043518,0.0,0.6608645915985107,0.0,0.20559512078762054,0.0,0.22413194179534912,0.0,0.0,0.0,0.19062499701976776,0.0
digits,dlgn,full_soft_vs_discrete,1,3,4,0.46683627367019653,0.0,0.6633110046386719,0.0,0.22225724160671234,0.0,0.3011249899864197,0.0,0.0,0.0,0.25,0.0
digits,dlgn_anneal,full_soft_vs_discrete,1,0,1,0.043808501213788986,0.0,0.6315255761146545,0.0,0.01536474283784628,0.0,0.01684027723968029,0.0,0.05937499925494194,0.0,0.15625,0.0
digits,dlgn_anneal,full_soft_vs_discrete,1,1,2,0.08993364870548248,0.0,0.742806613445282,0.0,0.03147092089056969,0.0,0.03237500041723251,0.0,0.0,0.0,0.11562500149011612,0.0
digits,dlgn_anneal,full_soft_vs_discrete,1,2,3,0.15692101418972015,0.0,0.7392115592956543,0.0,0.05534714087843895,0.0,0.05498611181974411,0.0,0.0,0.0,0.11562500149011612,0.0
digits,dlgn_anneal,full_soft_vs_discrete,1,3,4,0.22423599660396576,0.0,0.8298590779304504,0.0,0.08500044047832489,0.0,0.09406249970197678,0.0,0.0,0.0,0.15625,0.0
digits,gumbel_st,full_soft_vs_discrete,1,0,1,0.44823241233825684,0.0,0.6293082237243652,0.0,0.20597152411937714,0.0,0.2355833351612091,0.0,0.05937499925494194,0.0,0.30000001192092896,0.0
digits,gumbel_st,full_soft_vs_discrete,1,1,2,0.47623366117477417,0.0,0.6382735967636108,0.0,0.22927720844745636,0.0,0.33978471159935,0.0,0.0,0.0,0.390625,0.0
digits,gumbel_st,full_soft_vs_discrete,1,2,3,0.47615256905555725,0.0,0.6157330870628357,0.0,0.22951023280620575,0.0,0.3306388854980469,0.0,0.0,0.0,0.4781250059604645,0.0
digits,gumbel_st,full_soft_vs_discrete,1,3,4,0.4683503210544586,0.0,0.6700419187545776,0.0,0.22472071647644043,0.0,0.3239791691303253,0.0,0.0,0.0,0.5062500238418579,0.0
digits,hard_st_cage,full_soft_vs_discrete,1,0,1,0.44923242926597595,0.0,0.6258270740509033,0.0,0.21315446496009827,0.0,0.33799999952316284,0.0,0.05937499925494194,0.0,0.3187499940395355,0.0
digits,hard_st_cage,full_soft_vs_discrete,1,1,2,0.4757198393344879,0.0,0.6406945586204529,0.0,0.23012757301330566,0.0,0.36667361855506897,0.0,0.0,0.0,0.38749998807907104,0.0
digits,hard_st_cage,full_soft_vs_discrete,1,2,3,0.48022738099098206,0.0,0.6154003143310547,0.0,0.2325870543718338,0.0,0.33597221970558167,0.0,0.0,0.0,0.42500001192092896,0.0
digits,hard_st_cage,full_soft_vs_discrete,1,3,4,0.48946473002433777,0.0,0.574324369430542,0.0,0.24025613069534302,0.0,0.3287639021873474,0.0,0.0031250000465661287,0.0,0.43437498807907104,0.0
