method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats,activation_inactive_gate_ratio,hard_runtime_domain,hard_runtime_audit_operations,hard_runtime_floating_tensor_count
dlgn_anneal,majority9,1,0.9765625,0.7734375,0.203125,0.14400619268417358,57.850406646728516,57.70640045404434,0.9765625,0.7734375,0.203125,0.14400619268417358,57.850406646728516,57.70640045404434,4.931864643993322,-1,-1.0,0.9375,512,4,29,nan,nan,0,0.19921875,bool_int,39,0
gumbel_st,majority9,1,0.46875,0.515625,0.046875,27.39350700378418,133.68038940429688,106.2868824005127,0.46875,0.515625,0.046875,27.39350700378418,133.68038940429688,106.2868824005127,4.294327981013339,-1,-1.0,0.98828125,512,4,29,nan,nan,0,0.31640625,bool_int,39,0
hard_st_cage,majority9,1,0.53125,0.8515625,0.3203125,12.8612060546875,26.594989776611328,13.733783721923828,0.8515625,0.8515625,0.0,26.594989776611328,26.594989776611328,0.0,4.216294510988519,-1,-1.0,0.974609375,512,4,29,nan,nan,0,0.3203125,bool_int,39,0
block_relaxed,majority9,1,0.703125,0.453125,0.25,0.5883743762969971,224.24041748046875,223.65204310417175,0.703125,0.453125,0.25,0.5883743762969971,224.24041748046875,223.65204310417175,1.188840295013506,-1,-1.0,0.978515625,512,4,29,nan,nan,0,0.279296875,bool_int,39,0
block_hard_refit,majority9,1,0.46875,0.765625,0.296875,14.694574356079102,55.53373336791992,40.83915901184082,0.8984375,0.765625,0.1328125,2.4774789810180664,55.53373336791992,53.056254386901855,1.2424126200203318,-1,-1.0,0.990234375,512,4,29,nan,nan,0,0.326171875,bool_int,39,0
block_hard_task_refit,majority9,1,0.53125,0.703125,0.171875,1.9035283327102661,19.69912338256836,17.795595049858093,0.8828125,0.703125,0.1796875,2.3524041175842285,19.69912338256836,17.34671926498413,3.4215951939986553,-1,-1.0,0.984375,512,4,29,nan,nan,0,0.41796875,bool_int,39,0
dlgn,random_sparse10,1,1.0,0.55078125,0.44921875,0.001797070144675672,132.87478637695312,132.87298930680845,1.0,0.55078125,0.44921875,0.001797070144675672,132.87478637695312,132.87298930680845,7.772330723993946,-1,-1.0,0.884765625,512,4,26,nan,nan,0,0.228515625,bool_int,39,0
dlgn_anneal,random_sparse10,1,1.0,0.76171875,0.23828125,0.0018002295400947332,60.97270965576172,60.970909426221624,1.0,0.76171875,0.23828125,0.0018002295400947332,60.97270965576172,60.970909426221624,9.735500940994825,-1,-1.0,0.861328125,512,4,26,nan,nan,0,0.154296875,bool_int,39,0
gumbel_st,random_sparse10,1,0.5625,0.5234375,0.0390625,2.7140958309173584,206.2906036376953,203.57650780677795,0.5625,0.5234375,0.0390625,2.7140958309173584,206.2906036376953,203.57650780677795,8.278544013999635,-1,-1.0,0.98828125,512,4,26,nan,nan,0,0.34765625,bool_int,39,0
hard_st_cage,random_sparse10,1,0.5625,0.98046875,0.41796875,15.2716703414917,0.40687063336372375,14.864799708127975,0.98046875,0.98046875,0.0,0.40687063336372375,0.40687063336372375,0.0,8.130340308009181,84,5.685923061013455,0.8671875,512,4,26,nan,nan,0,0.25390625,bool_int,39,0
