dataset,source_dataset_arg,seed,threshold_levels,input_dim,num_classes,b,head_type,width,layers,epochs,train_forward_mode,warmup_epochs,warmup_mode,lr,cosine_lr,weight_decay,label_smoothing,head_norm,include_input_in_concat,estimator,init,init_strength,soft_acc,soft_loss,hard_acc,hard_loss,acc_gap,loss_gap,best_soft_acc,best_soft_loss,best_epoch,final_train_loss,train_time,parameter_count,logic_parameter_count,head_parameter_count,unused_gate_ratio,fanout_max
binarized_mnist,binarized_mnist,0,3,2352,10,4,groupsum,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.93,0.24196370442708334,0.3393333333333333,3.444918619791667,0.5906666666666667,3.2029549153645833,0.93,0.24196370442708334,80,0.14310100146134694,900.7760853879154,64000,64000,0,0.09475,4
binarized_mnist,binarized_mnist,0,3,2352,10,4,final_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.93,0.3434534912109375,0.6593333333333333,1.5122381184895832,0.2706666666666667,1.1687846272786457,0.93,0.3434534912109375,80,0.003985340653608243,884.8484431861434,76010,64000,12010,0.1185,4
binarized_mnist,binarized_mnist,0,3,2352,10,4,concat_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.918,0.47759049479166665,0.718,1.71000048828125,0.20000000000000007,1.2324099934895834,0.918,0.47759049479166665,80,0.002791620024169485,264.0031363880262,140234,64000,76234,0.1645,4
binarized_mnist,binarized_mnist,0,3,2352,10,4,concat_mlp,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.965,0.17608101399739584,0.9643333333333334,0.18308451334635417,0.0006666666666665932,0.007003499348958331,0.965,0.17608101399739584,80,6.316928569382677e-05,37.819152652984485,13108138,64000,13044138,0.1645,4
binarized_mnist,binarized_mnist,0,3,2352,10,4,input_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.8986666666666666,0.498870849609375,0.8986666666666666,0.498870849609375,0.0,0.0,0.8986666666666666,0.498870849609375,80,0.01265838281561931,12.336172433104366,92234,64000,28234,0.1645,4
binarized_mnist,binarized_mnist,0,3,2352,10,6,groupsum,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.935,0.20095631917317708,0.3333333333333333,3.28568359375,0.6016666666666668,3.084727274576823,0.935,0.20095631917317708,80,0.05845536834001541,3586.0412856980693,256000,256000,0,0.08475,6
binarized_mnist,binarized_mnist,0,3,2352,10,6,final_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9426666666666667,0.2759204508463542,0.674,1.26843310546875,0.2686666666666666,0.9925126546223959,0.9426666666666667,0.2759204508463542,80,0.0012731593397135536,3291.7504710750654,268010,256000,12010,0.127,6
binarized_mnist,binarized_mnist,0,3,2352,10,6,concat_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9243333333333333,0.43690120442708336,0.6356666666666667,2.6429539388020835,0.2886666666666666,2.206052734375,0.9243333333333333,0.43690120442708336,80,0.0017579267440984646,1129.996084593935,332234,256000,76234,0.1805,6
binarized_mnist,binarized_mnist,0,3,2352,10,6,concat_mlp,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.962,0.2044780476888021,0.9573333333333334,0.209697998046875,0.004666666666666597,0.005219950358072906,0.962,0.2044780476888021,80,6.707536660057182e-05,94.30642323987558,13300138,256000,13044138,0.1805,6
binarized_mnist,binarized_mnist,0,3,2352,10,6,input_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.898,0.50328173828125,0.898,0.50328173828125,0.0,0.0,0.898,0.50328173828125,80,0.012091702779134114,26.669840025017038,284234,256000,28234,0.1805,6
