method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
block_relaxed,majority9,0,full_soft_vs_discrete,0,1,0.403225839138031,0.6419212818145752,0.17163148522377014,0.16033935546875,0.0,0.171875
block_relaxed,majority9,0,full_soft_vs_discrete,1,2,0.46424365043640137,0.6598343253135681,0.2190125584602356,0.268310546875,0.0,0.2734375
block_relaxed,majority9,0,full_soft_vs_discrete,2,3,0.4700629711151123,0.6477996110916138,0.2249077409505844,0.33685302734375,0.0,0.375
block_relaxed,majority9,0,full_soft_vs_discrete,3,4,0.4759862422943115,0.6561839580535889,0.2307557910680771,0.36407470703125,0.0,0.4375
block_hard_refit,majority9,0,full_soft_vs_discrete,0,1,0.3894374966621399,0.4989998936653137,0.157843217253685,0.0,0.0,0.140625
block_hard_refit,majority9,0,full_soft_vs_discrete,1,2,0.45771676301956177,0.5921624898910522,0.21267592906951904,0.25390625,0.0,0.296875
block_hard_refit,majority9,0,full_soft_vs_discrete,2,3,0.46618717908859253,0.6597154140472412,0.2211252748966217,0.3189697265625,0.0,0.3671875
block_hard_refit,majority9,0,full_soft_vs_discrete,3,4,0.47278058528900146,0.6338714361190796,0.22737938165664673,0.33782958984375,0.0,0.4140625
block_hard_refit,majority9,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.140625,0.140625
block_hard_refit,majority9,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.296875,0.296875
block_hard_refit,majority9,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.3671875,0.3671875
block_hard_refit,majority9,0,path_soft_vs_discrete,3,4,0.3994903862476349,0.4997325539588928,0.16531138122081757,0.0,0.1640625,0.4140625
block_hard_task_refit,majority9,0,full_soft_vs_discrete,0,1,0.41585710644721985,0.8200210332870483,0.18426282703876495,0.12835693359375,0.0,0.1171875
block_hard_task_refit,majority9,0,full_soft_vs_discrete,1,2,0.4709341824054718,0.6914504766464233,0.2257421761751175,0.30230712890625,0.0,0.3046875
block_hard_task_refit,majority9,0,full_soft_vs_discrete,2,3,0.47130799293518066,0.6520857810974121,0.22622118890285492,0.31756591796875,0.0,0.484375
block_hard_task_refit,majority9,0,full_soft_vs_discrete,3,4,0.4767216742038727,0.6465823650360107,0.23152875900268555,0.33551025390625,0.0,0.609375
block_hard_task_refit,majority9,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1171875,0.1171875
block_hard_task_refit,majority9,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.3046875,0.3046875
block_hard_task_refit,majority9,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.484375,0.484375
block_hard_task_refit,majority9,0,path_soft_vs_discrete,3,4,0.4168405830860138,0.825855553150177,0.18498121201992035,0.13397216796875,0.2421875,0.609375
dlgn,random_sparse10,0,full_soft_vs_discrete,0,1,0.31388410925865173,0.617445707321167,0.12017819285392761,0.103851318359375,0.0,0.0546875
dlgn,random_sparse10,0,full_soft_vs_discrete,1,2,0.42384281754493713,0.6916839480400085,0.18963095545768738,0.205291748046875,0.0,0.140625
dlgn,random_sparse10,0,full_soft_vs_discrete,2,3,0.4700058698654175,0.6315581798553467,0.22405773401260376,0.315643310546875,0.0,0.21875
dlgn,random_sparse10,0,full_soft_vs_discrete,3,4,0.4736638069152832,0.6640535593032837,0.227985218167305,0.3399658203125,0.0,0.3359375
dlgn_anneal,random_sparse10,0,full_soft_vs_discrete,0,1,0.07566104829311371,0.6127636432647705,0.024076376110315323,0.012664794921875,0.0,0.0859375
dlgn_anneal,random_sparse10,0,full_soft_vs_discrete,1,2,0.14443255960941315,0.6969454288482666,0.04968971014022827,0.043243408203125,0.0,0.140625
dlgn_anneal,random_sparse10,0,full_soft_vs_discrete,2,3,0.2325640320777893,0.7608195543289185,0.08653704822063446,0.091400146484375,0.0,0.203125
dlgn_anneal,random_sparse10,0,full_soft_vs_discrete,3,4,0.27513018250465393,0.8835177421569824,0.11322680115699768,0.156524658203125,0.0,0.2734375
gumbel_st,random_sparse10,0,full_soft_vs_discrete,0,1,0.43278324604034424,0.6401181221008301,0.19401337206363678,0.197479248046875,0.0,0.171875
gumbel_st,random_sparse10,0,full_soft_vs_discrete,1,2,0.476179301738739,0.6750109195709229,0.23028647899627686,0.3443603515625,0.0,0.2890625
gumbel_st,random_sparse10,0,full_soft_vs_discrete,2,3,0.4808429181575775,0.6500241756439209,0.23393119871616364,0.35675048828125,0.0,0.3515625
gumbel_st,random_sparse10,0,full_soft_vs_discrete,3,4,0.47079387307167053,0.6695684790611267,0.22531189024448395,0.30963134765625,0.0,0.4453125
hard_st_cage,random_sparse10,0,full_soft_vs_discrete,0,1,0.45996013283729553,0.6111483573913574,0.21853959560394287,0.349090576171875,0.0,0.1328125
hard_st_cage,random_sparse10,0,full_soft_vs_discrete,1,2,0.4861467778682709,0.6486450433731079,0.23778054118156433,0.370513916015625,0.0,0.3046875
hard_st_cage,random_sparse10,0,full_soft_vs_discrete,2,3,0.49129167199134827,0.5857462882995605,0.24203436076641083,0.379486083984375,0.0,0.421875
hard_st_cage,random_sparse10,0,full_soft_vs_discrete,3,4,0.49267488718032837,0.5735655426979065,0.24323105812072754,0.33355712890625,0.0,0.5546875
block_relaxed,random_sparse10,0,full_soft_vs_discrete,0,1,0.4073016345500946,0.6109932661056519,0.17439688742160797,0.15155029296875,0.0,0.140625
block_relaxed,random_sparse10,0,full_soft_vs_discrete,1,2,0.46777665615081787,0.620145320892334,0.22239920496940613,0.311370849609375,0.0,0.25
block_relaxed,random_sparse10,0,full_soft_vs_discrete,2,3,0.4756462574005127,0.6234281063079834,0.22898459434509277,0.311492919921875,0.0,0.3359375
block_relaxed,random_sparse10,0,full_soft_vs_discrete,3,4,0.4746077060699463,0.664634108543396,0.22892233729362488,0.33685302734375,0.0,0.4140625
